responsività,,,,,,,,,
λ,I (A),P (W),,Resp,,,,,
,,,,,,,13,,"5,63E-01"
3843,"3,85E-03","0,007115384615",,"0,54",,3745,"2,31E-03","0,007115384615","3,24E-01"
3941,"6,15E-03","0,1704545455",,"0,04",,3843,"3,85E-03","0,1057692308","3,64E-02"
4039,"1,00E-02","0,2272727273",,"0,04",,3941,"6,15E-03","0,1442307692","4,27E-02"
4137,"1,38E-02","0,2840909091",,"0,05",,4039,"1,00E-02","0,1923076923","5,20E-02"
4235,"1,92E-02","0,4090909091",,"0,05",,4137,"1,38E-02","0,2403846154","5,76E-02"
4333,"2,54E-02","0,4318181818",,"0,06",,4235,"1,92E-02","0,3461538462","5,56E-02"
4431,"3,38E-02","0,4886363636",,"0,07",,4333,"2,54E-02","0,3653846154","6,95E-02"
4529,"4,23E-02","0,5113636364",,"0,08",,4431,"3,38E-02","0,4134615385","8,19E-02"
4627,"5,15E-02","0,5795454545",,"0,09",,4529,"4,23E-02","0,4326923077","9,78E-02"
4725,"5,77E-02","0,6136363636",,"0,09",,4627,"5,15E-02","0,4903846154","1,05E-01"
4823,"7,00E-02","0,6477272727",,"0,11",,4725,"5,77E-02","0,5192307692","1,11E-01"
4921,"7,92E-02","0,7159090909",,"0,11",,4823,"7,00E-02","0,5480769231","1,28E-01"
5019,"9,08E-02","0,75",,"0,12",,4921,"7,92E-02","0,6057692308","1,31E-01"
5117,"1,05E-01","0,8181818182",,"0,13",,5019,"9,08E-02","0,6346153846","1,43E-01"
5215,"1,18E-01","0,8636363636",,"0,14",,5117,"1,05E-01","0,6923076923","1,51E-01"
5313,"1,35E-01","0,8977272727",,"0,15",,5215,"1,18E-01","0,7307692308","1,62E-01"
5411,"1,48E-01","0,9431818182",,"0,16",,5313,"1,35E-01","0,7596153846","1,77E-01"
5509,"1,68E-01","1,045454545",,"0,16",,5411,"1,48E-01","0,7980769231","1,86E-01"
5607,"1,96E-01","1,136363636",,"0,17",,5509,"1,68E-01","0,8846153846","1,90E-01"
5705,"2,05E-01","1,181818182",,"0,17",,5607,"1,96E-01","0,9615384615","2,04E-01"
5807,"2,27E-01","1,227272727",,"0,18",,5705,"2,05E-01",1,"2,05E-01"
5909,"2,77E-01","1,386363636",,"0,20",,5807,"2,27E-01","1,038461538","2,19E-01"
6011,"2,95E-01","1,409090909",,"0,21",,5909,"2,77E-01","1,173076923","2,36E-01"
6113,"2,98E-01","1,363636364",,"0,22",,6011,"2,95E-01","1,192307692","2,48E-01"
6215,"3,07E-01","1,363636364",,"0,23",,6113,"2,98E-01","1,153846154","2,59E-01"
6317,"3,18E-01","1,340909091",,"0,24",,6215,"3,07E-01","1,153846154","2,66E-01"
6419,"3,32E-01","1,318181818",,"0,25",,6317,"3,18E-01","1,134615385","2,81E-01"
6521,"3,42E-01","1,363636364",,"0,25",,6419,"3,32E-01","1,115384615","2,98E-01"
6623,"3,58E-01","1,386363636",,"0,26",,6521,"3,42E-01","1,153846154","2,97E-01"
6725,"3,71E-01","1,340909091",,"0,28",,6623,"3,58E-01","1,173076923","3,06E-01"
6827,"3,82E-01","1,363636364",,"0,28",,6725,"3,71E-01","1,134615385","3,27E-01"
6929,"3,92E-01","1,363636364",,"0,29",,6827,"3,82E-01","1,153846154","3,31E-01"
7031,"4,02E-01","1,363636364",,"0,29",,6929,"3,92E-01","1,153846154","3,40E-01"
7133,"4,08E-01","1,363636364",,"0,30",,7031,"4,02E-01","1,153846154","3,48E-01"
7235,"4,13E-01","1,340909091",,"0,31",,7133,"4,08E-01","1,153846154","3,53E-01"
7337,"4,16E-01","1,295454545",,"0,32",,7235,"4,13E-01","1,134615385","3,64E-01"
7439,"4,16E-01","1,25",,"0,33",,7337,"4,16E-01","1,096153846","3,80E-01"
7541,"4,12E-01","1,227272727",,"0,34",,7439,"4,16E-01","1,057692308","3,93E-01"
7643,"4,30E-01","1,25",,"0,34",,7541,"4,12E-01","1,038461538","3,96E-01"
7745,"4,91E-01","1,386363636",,"0,35",,7643,"4,30E-01","1,057692308","4,07E-01"
7847,"4,55E-01","1,25",,"0,36",,7745,"4,91E-01","1,173076923","4,18E-01"
7949,"4,16E-01","1,136363636",,"0,37",,7847,"4,55E-01","1,057692308","4,30E-01"
8051,"3,94E-01","1,056818182",,"0,37",,7949,"4,16E-01","0,9615384615","4,33E-01"
8153,"3,83E-01","1,022727273",,"0,37",,8051,"3,94E-01","0,8942307692","4,40E-01"
8255,"3,81E-01",1,,"0,38",,8153,"3,83E-01","0,8653846154","4,43E-01"
8357,"3,86E-01","0,9545454545",,"0,40",,8255,"3,81E-01","0,8461538462","4,50E-01"
8459,"4,01E-01","1,022727273",,"0,39",,8357,"3,86E-01","0,8076923077","4,78E-01"
8561,"4,25E-01","1,045454545",,"0,41",,8459,"4,01E-01","0,8653846154","4,63E-01"
8663,"4,55E-01","1,090909091",,"0,42",,8561,"4,25E-01","0,8846153846","4,81E-01"
8765,"4,94E-01","1,159090909",,"0,43",,8663,"4,55E-01","0,9230769231","4,93E-01"
8867,"5,35E-01","1,25",,"0,43",,8765,"4,94E-01","0,9807692308","5,04E-01"
8969,"5,79E-01","1,363636364",,"0,42",,8867,"5,35E-01","1,057692308","5,06E-01"
9071,"6,24E-01","1,420454545",,"0,44",,8969,"5,79E-01","1,153846154","5,02E-01"
9122,"6,38E-01","1,454545455",,"0,44",,9071,"6,24E-01","1,201923077","5,19E-01"
9173,"6,65E-01","1,477272727",,"0,45",,9122,"6,38E-01","1,230769231","5,19E-01"
9224,"6,86E-01","1,568181818",,"0,44",,9173,"6,65E-01","1,25","5,32E-01"
9275,"7,04E-01","1,545454545",,"0,46",,9224,"6,86E-01","1,326923077","5,17E-01"
9326,"7,21E-01","1,590909091",,"0,45",,9275,"7,04E-01","1,307692308","5,38E-01"
9377,"7,33E-01","1,613636364",,"0,45",,9326,"7,21E-01","1,346153846","5,35E-01"
9428,"7,46E-01","1,590909091",,"0,47",,9377,"7,33E-01","1,365384615","5,37E-01"
9479,"7,59E-01","1,636363636",,"0,46",,9428,"7,46E-01","1,346153846","5,54E-01"
9530,"7,69E-01","1,659090909",,"0,46",,9479,"7,59E-01","1,384615385","5,48E-01"
9581,"7,85E-01","1,670454545",,"0,47",,9530,"7,69E-01","1,403846154","5,48E-01"
9632,"8,68E-01","1,840909091",,"0,47",,9581,"7,85E-01","1,413461538","5,56E-01"
9683,"1,05E+00","2,227272727",,"0,47",,9632,"8,68E-01","1,557692308","5,58E-01"
9734,"1,30E+00","2,75",,"0,47",,9683,"1,05E+00","1,884615385","5,57E-01"
9785,"1,44E+00","3,045454545",,"0,47",,9734,"1,30E+00","2,326923077","5,58E-01"
9836,"1,37E+00","2,886363636",,"0,48",,9785,"1,44E+00","2,576923077","5,59E-01"
9887,"1,22E+00","2,568181818",,"0,47",,9836,"1,37E+00","2,442307692","5,63E-01"
9938,"1,08E+00","2,340909091",,"0,46",,9887,"1,22E+00","2,173076923","5,60E-01"
9989,"9,92E-01","2,181818182",,"0,45",,9938,"1,08E+00","1,980769231","5,48E-01"
10040,"9,27E-01","2,090909091",,"0,44",,9989,"9,92E-01","1,846153846","5,37E-01"
10091,"8,75E-01",2,,"0,44",,10040,"9,27E-01","1,769230769","5,24E-01"
10142,"8,28E-01","1,954545455",,"0,42",,10091,"8,75E-01","1,692307692","5,17E-01"
10193,"7,81E-01","1,931818182",,"0,40",,10142,"8,28E-01","1,653846154","5,01E-01"
10244,"7,33E-01","1,909090909",,"0,38",,10193,"7,81E-01","1,634615385","4,78E-01"
10295,"6,85E-01","1,886363636",,"0,36",,10244,"7,33E-01","1,615384615","4,54E-01"
10346,"6,31E-01","1,863636364",,"0,34",,10295,"6,85E-01","1,596153846","4,29E-01"
10397,"5,75E-01","1,852272727",,"0,31",,10346,"6,31E-01","1,576923077","4,00E-01"
10448,"5,21E-01","1,840909091",,"0,28",,10397,"5,75E-01","1,567307692","3,67E-01"
10499,"4,65E-01","1,818181818",,"0,26",,10448,"5,21E-01","1,557692308","3,34E-01"
10550,"4,25E-01","1,840909091",,"0,23",,10499,"4,65E-01","1,538461538","3,03E-01"
10601,"3,58E-01","1,795454545",,"0,20",,10550,"4,25E-01","1,557692308","2,73E-01"
10652,"3,11E-01","1,761363636",,"0,18",,10601,"3,58E-01","1,519230769","2,36E-01"
10703,"2,75E-01","1,772727273",,"0,16",,10652,"3,11E-01","1,490384615","2,09E-01"
10754,"2,44E-01","1,704545455",,"0,14",,10703,"2,75E-01","1,5","1,84E-01"
10805,"2,16E-01","1,75",,"0,12",,10754,"2,44E-01","1,442307692","1,69E-01"
10856,"1,92E-01","1,738636364",,"0,11",,10805,"2,16E-01","1,480769231","1,46E-01"
10907,"1,68E-01","1,727272727",,"0,10",,10856,"1,92E-01","1,471153846","1,30E-01"
10958,"1,46E-01","1,715909091",,"0,09",,10907,"1,68E-01","1,461538462","1,15E-01"
11009,"1,27E-01","1,704545455",,"0,07",,10958,"1,46E-01","1,451923077","1,01E-01"
11060,"1,12E-01","1,693181818",,"0,07",,11009,"1,27E-01","1,442307692","8,80E-02"
11111,"9,62E-02","1,681818182",,"0,06",,11060,"1,12E-01","1,432692308","7,79E-02"
11162,"8,23E-02","1,704545455",,"0,05",,11111,"9,62E-02","1,423076923","6,76E-02"
11213,"6,92E-02","1,659090909",,"0,04",,11162,"8,23E-02","1,442307692","5,71E-02"
11264,"5,92E-02","1,636363636",,"0,04",,11213,"6,92E-02","1,403846154","4,93E-02"
11315,"4,85E-02","1,625",,"0,03",,11264,"5,92E-02","1,384615385","4,28E-02"
11366,"4,00E-02","1,625",,"0,02",,11315,"4,85E-02","1,375","3,52E-02"
11417,"3,23E-02","1,625",,"0,02",,11366,"4,00E-02","1,375","2,91E-02"
11468,"2,62E-02","1,613636364",,"0,02",,11417,"3,23E-02","1,375","2,35E-02"
11519,"1,92E-02","1,590909091",,"0,01",,11468,"2,62E-02","1,365384615","1,92E-02"
11570,"1,38E-02","1,579545455",,"0,01",,11519,"1,92E-02","1,346153846","1,43E-02"
11621,"9,23E-03","1,613636364",,"0,01",,11570,"1,38E-02","1,336538462","1,04E-02"
11672,"5,38E-03","1,590909091",,"0,00",,11621,"9,23E-03","1,365384615","6,76E-03"
11723,"2,31E-03","1,590909091",,"0,00",,11672,"5,38E-03","1,346153846","4,00E-03"